iter	Passed	Remaining
370	2128	4755
371	2133	4748
372	2137	4740
373	2142	4732
374	2147	4724
375	2152	4717
376	2158	4711
377	2163	4705
378	2169	4700
379	2175	4694
380	2180	4687
381	2186	4681
382	2191	4674
383	2196	4667
384	2201	4660
385	2206	4653
386	2211	4646
387	2216	4639
388	2222	4632
389	2227	4627
390	2233	4620
391	2238	4613
392	2243	4607
393	2249	4601
394	2254	4594
395	2260	4588
396	2265	4581
397	2270	4575
398	2276	4569
399	2282	4565
400	2287	4557
401	2292	4550
402	2296	4542
403	2301	4534
404	2306	4527
405	2310	4519
406	2315	4512
407	2321	4506
408	2326	4499
409	2331	4492
410	2336	4485
411	2341	4478
412	2346	4471
413	2351	4464
414	2355	4456
415	2361	4449
416	2366	4442
417	2370	4435
418	2376	4429
419	2381	4422
420	2386	4415
